ID,Level 1 (TOP TERMS),Level 2 (BROADER TERM),SYNONYMS,DESCRIPTION,Sport England TT,SportSuite TT,EMD TT,SE BT,SS TT,EMD TT,SE Recognised TT?,SE Recognised BT?
22584a2a-fafc-4710-863c-8a1fc3f96b2c,Aikido,,,Aikido is a Japanese martial art focusing on self-defense that is based on harmonising your movement and intention with that of an aggressive attack.,Level 1,Level 1,No,,,,Yes,
9caeb442-2834-4859-b660-9172ed61ee71,American Football,,,American Football is a team sport where the objective is to score points by advancing the ball into the opposing team's end zone by running with it or throwing it to a teammate.,Level 1,Level 1,No,,,,Yes,
a4375402-067d-4549-9d3a-8c1e998350a1,American Football,Flag Football,,"Flag is the fastest growing format of the game in Great Britain, encompassing schools, colleges, universities and in the community.",Level 1,Level 1,No,No,Level 2,No,Yes,No
72d19892-5f55-4e9c-87b0-a5433baa49c8,Angling,,Fishing,"Angling is the sport of catching fish with a rod, line, and hook.",Level 1,Level 1,No,,,,Yes,
f440805a-0364-48a8-b722-deb418a87d89,Aquathon,,,,Level 1,No,No,,,,No,
343f01cb-a2e8-48e8-9c0f-dcc7fbaf7ce4,Archery,,,Archery involves using a bow and arrow to hit a stationary target. Points are then scored based on the position the arrow lands on the target.,Level 1,Level 1,No,,,,Yes,
d18b2d90-e6aa-4fb1-a5f0-2094b1328a0c,Arm Wrestling,,,,Level 1,No,No,,,,Yes,
4d280e1b-a370-4582-ab4d-442b2eeaf5d4,Athletics,,,"Athletics is a collection of track and field events that involve running, jumping and throwing.",Level 1,Level 1,No,,,,Yes,
31ff0671-ac82-438c-881f-ba52b9e5e91a,Athletics,Discus Throw,,Throwing athletics track and field event.,Level 1,Level 1,No,No,Level 2,No,Yes,No
e0b45fa9-5576-414c-9fa7-bcf44a119253,Athletics,Hammer Throw,,Hammer throw is a modern day Olympic track and field event where athletes hurl a steel ball attached to a wire.,Level 1,Level 1,No,No,Level 2,No,Yes,No
7c9fced1-df85-465f-92cb-205e31659929,Athletics,High Jump,,High jump is an athletic track and field event,Level 1,Level 1,No,No,Level 2,No,Yes,No
a11a67ba-65e3-4b45-839a-0e1e4013b966,Athletics,Javelin Throw,,Javelin is the athletic sport of throwing a metal spear as far as possible.,Level 1,Level 1,No,No,Level 2,No,Yes,No
52aa05ed-b23f-4bad-b443-b8af1baa0725,Athletics,Long Jump,,"Long jump (historically called the broad jump) is a track and field event in which athletes combine speed, strength, and agility in an attempt to leap as far as possible from a take off point.",Level 1,Level 1,No,No,Level 2,No,Yes,No
5df80216-2af8-4ad3-8120-a34c11ea1a87,Athletics,Pole Vault,,"Pole vaulting is a track and field event in which the athlete uses a long, flexible pole as an aid to jump over a bar.",Level 1,Level 1,No,No,Level 2,No,Yes,No
b807b6e2-fedf-4682-bef4-dddd5e711a51,Athletics,Shot Put,,Shot Put is an athletic discipline that involves 'putting' a spherical weight as far as possible.,Level 1,Level 1,No,No,Level 2,No,Yes,No
91dbf631-5071-43d2-b49d-3cecf2a40f5c,Athletics,Track and Field,,,Level 1,Level 1,No,Level 2,No,No,Yes,Yes
55877996-733a-4d9b-ad7d-79f07dcb56f9,Australian Rules Football,,"AFL,Aussie Rules Football,Aussie Rules",,Level 1,No,No,,,,Yes,
c0360db0-a817-4bae-9167-40f89b49fc9e,Badminton,,,Badminton is a racket sport that involves hitting a shuttlecock over a net on indoor courts. Points are scored when the opponent is unable to return the shuttlecock before it hits the floor.,Level 1,Level 1,No,,,,Yes,
fb712db6-6d9c-4fc8-b4d8-6058cd0fc340,Badminton,Outdoor Badminton,,Badminton is a racket sport that involves hitting a shuttlecock over a net on indoor courts. Points are scored when the opponent is unable to return the shuttlecock before it hits the floor.,Level 1,Level 1,No,Level 2,No,No,Yes,No
e1231699-4b6b-424c-ab84-4c7706f3dfff,Badminton,Para-Badminton,,,Level 1,Level 1,No,No,Level 1,No,Yes,No
85ac8e6d-4241-46fb-9ea2-4417567a852c,Ballooning,,,,Level 1,Level 1,No,,,,Yes,
ab4a33f2-dc13-4f7f-afa4-a3184dc00eab,Baseball,,,Baseball is played by two teams of nine players each. The teams take turns batting and fielding. The batting team is called the offensive team and the fielding team is called the defensive team.,Level 1,Level 1,No,,,,Yes,
e09776e6-f1b4-421b-b667-5c5913cf97aa,Basketball,,,"Basketball is a game played by two teams of usually five players each on a rectangular court having a raised basket or goal at each end, points being scored by tossing the ball through the opponent's basket.",Level 1,Level 1,No,,,,Yes,
37047196-6521-4f6e-ae8f-b97956ad9af8,Basketball,Deaf Basketball,,Deaf basketball is basketball played by individuals with hearing impairments. Sign language is used to communicate whistle blows and communication between players.,Level 1,Level 1,No,No,Level 2,No,Yes,No
66be9946-88f5-4889-bb6b-46dbef833f6d,Basketball,Inclusive Zone Basketball,,,Level 1,Level 1,No,No,Level 2,No,Yes,No
491f00db-e058-43a3-afb7-d352d3dd5b5e,Basketball,Walking Basketball,,"Walking Basketball provides low impact, cardio exercise, incorporating constant brisk walking. It improves fitness, and is mentally challenging. Playing as part of a team, it brings a sense of camaraderie which is fun and rewarding.",Level 1,Level 1,No,No,Level 1,No,Yes,No
